,Hotel,Is repeated guest,Arrival date,Departure date,Lead time,Adults,Children,Babies,Meal,Country,Market segment,Distribution channel,Customer type,Room type,Booking changes,Deposit type,Agent,Company,Days in waiting list,Customer City,Customer State,ADR,Required car parking spaces,Total of special requests,Reservation status,Reservation status date,Booking Date,Canceled
123,Resort Hotel,1,2020-08-26,2020-09-30,127,1,1,0,BB,Portugal,Corporate,Corporate,Group,Single,3,Non Refund,9,4,9,Berlin,Madrid,74.95,0,1,Canceled,2020-10-25,2020-04-21,1
124,City Hotel,0,2021-04-28,2020-09-28,320,3,2,1,BB,France,Offline TA/TO,Corporate,Transient-Party,Triple,0,No Deposit,7,1,40,London,Berlin,98.4,1,0,Check-Out,2020-02-01,2020-06-12,0
125,Resort Hotel,1,2021-11-15,2021-06-24,194,3,1,1,FB,Germany,Online TA,Direct,Transient-Party,Single,1,Non Refund,6,3,50,Paris,Berlin,77.41,1,4,Check-Out,2020-06-18,2021-05-05,0
126,City Hotel,0,2022-04-18,2021-07-04,205,3,2,1,HB,Germany,Offline TA/TO,TA/TO,Contract,Single,2,Refundable,2,3,17,Paris,Berlin,99.63,2,0,Check-Out,2020-05-10,2021-09-25,0
127,Resort Hotel,0,2021-05-10,2021-04-12,79,2,1,0,BB,Portugal,Direct,Direct,Contract,Triple,3,Non Refund,4,7,41,Paris,London,162.61,2,4,Canceled,2022-12-05,2021-02-20,1
128,Resort Hotel,0,2022-03-20,2022-03-07,321,2,1,1,FB,Germany,Offline TA/TO,Corporate,Group,Triple,1,Refundable,4,8,20,Berlin,Madrid,123.04,2,3,Canceled,2022-01-12,2021-05-03,1
129,City Hotel,0,2021-09-19,2022-11-16,36,4,0,0,HB,Germany,Corporate,Corporate,Transient,Triple,2,Non Refund,9,10,30,Lisbon,Berlin,147.28,1,4,No-Show,2021-06-19,2021-08-14,0
130,City Hotel,0,2021-03-09,2021-08-25,186,3,1,1,HB,Portugal,Online TA,Corporate,Transient,Triple,0,No Deposit,7,4,21,Berlin,London,98.39,0,0,Canceled,2021-06-02,2020-09-04,1
131,Resort Hotel,0,2021-07-11,2020-10-19,206,3,0,0,HB,United Kingdom,Corporate,Direct,Contract,Double,2,No Deposit,10,1,2,Berlin,London,177.32,0,2,Canceled,2022-08-10,2020-12-17,1
132,Resort Hotel,0,2020-11-24,2022-05-12,266,4,0,1,FB,Portugal,Online TA,Direct,Transient-Party,Single,0,No Deposit,10,6,13,Berlin,Berlin,121.44,1,1,Canceled,2022-11-21,2020-03-03,1
133,Resort Hotel,0,2021-09-10,2022-12-03,142,4,2,1,FB,Germany,Offline TA/TO,Direct,Transient-Party,Double,2,No Deposit,3,1,8,Madrid,London,50.51,2,4,No-Show,2020-12-14,2021-04-21,0
134,City Hotel,0,2021-07-06,2022-01-29,271,2,2,1,BB,Germany,Online TA,Corporate,Group,Triple,2,Non Refund,3,1,21,London,Paris,80.12,0,1,Check-Out,2022-05-22,2020-10-08,0
135,City Hotel,0,2021-10-03,2022-12-19,230,4,1,1,FB,Portugal,Corporate,Corporate,Contract,Triple,2,Non Refund,6,6,21,Madrid,Berlin,68.9,0,4,Canceled,2021-12-03,2021-02-15,1
136,Resort Hotel,1,2020-07-15,2022-08-29,129,1,2,1,FB,Spain,Offline TA/TO,Direct,Transient-Party,Triple,2,Non Refund,9,8,4,London,Madrid,71.21,0,2,Canceled,2022-12-01,2020-03-08,1
137,Resort Hotel,0,2022-02-27,2020-04-20,346,1,2,0,FB,France,Corporate,Corporate,Contract,Double,2,Non Refund,5,9,46,Madrid,Lisbon,190.33,0,2,Check-Out,2021-07-15,2021-03-18,0
138,Resort Hotel,0,2020-01-19,2021-10-25,234,3,2,0,HB,Germany,Corporate,Direct,Group,Double,2,No Deposit,4,9,34,Madrid,Berlin,118.1,2,0,No-Show,2021-02-13,2019-05-30,0
139,City Hotel,1,2020-08-06,2021-04-19,318,4,0,0,HB,Spain,Offline TA/TO,Direct,Contract,Single,1,Refundable,5,6,27,Madrid,Lisbon,67.29,2,4,Check-Out,2020-04-08,2019-09-23,0
140,Resort Hotel,0,2021-04-19,2020-08-06,141,4,1,0,FB,Portugal,Online TA,TA/TO,Contract,Triple,2,Non Refund,7,7,23,Lisbon,Lisbon,52.58,1,3,Check-Out,2021-04-03,2020-11-29,0
141,Resort Hotel,0,2021-05-18,2021-12-30,165,4,0,1,FB,Portugal,Corporate,Direct,Transient-Party,Single,0,Refundable,4,7,35,London,Madrid,71.61,1,2,Check-Out,2020-11-10,2020-12-04,0
142,Resort Hotel,0,2022-02-02,2020-03-28,277,4,2,1,BB,United Kingdom,Offline TA/TO,TA/TO,Transient,Triple,2,Non Refund,8,1,41,Lisbon,Madrid,65.16,1,2,Canceled,2022-12-07,2021-05-01,1
143,City Hotel,0,2020-12-24,2021-09-10,238,4,1,1,BB,Germany,Direct,Corporate,Transient,Triple,1,No Deposit,6,9,11,Paris,London,129.86,2,4,No-Show,2022-02-06,2020-04-30,0
144,City Hotel,1,2021-06-01,2020-10-03,210,3,2,1,BB,United Kingdom,Corporate,TA/TO,Group,Triple,1,Non Refund,10,10,29,Madrid,Lisbon,181.71,2,1,Check-Out,2020-08-12,2020-11-03,0
145,Resort Hotel,1,2021-10-25,2021-10-23,154,1,1,0,HB,Portugal,Direct,TA/TO,Group,Double,2,No Deposit,6,9,10,London,Lisbon,120.63,0,3,No-Show,2020-01-28,2021-05-24,0
146,City Hotel,1,2021-09-18,2020-08-29,270,2,0,1,FB,Germany,Corporate,TA/TO,Contract,Double,0,Refundable,9,9,3,Madrid,London,163.89,2,3,Check-Out,2021-03-09,2020-12-22,0
147,City Hotel,1,2020-12-18,2022-07-16,1,1,1,1,HB,Germany,Online TA,Corporate,Transient,Double,3,Non Refund,7,6,45,Paris,Paris,144.54,1,1,Canceled,2022-01-18,2020-12-17,1
148,Resort Hotel,0,2022-12-25,2022-02-13,126,2,2,1,HB,Portugal,Offline TA/TO,Direct,Transient,Double,3,Refundable,10,10,24,London,London,193.41,0,3,No-Show,2022-06-07,2022-08-21,0
149,Resort Hotel,0,2021-03-09,2021-08-22,324,3,1,0,BB,Spain,Online TA,Direct,Transient,Single,2,Refundable,7,3,19,London,London,94.21,1,4,Canceled,2020-04-05,2020-04-19,1
150,City Hotel,0,2021-05-11,2022-01-26,262,4,0,0,FB,Spain,Offline TA/TO,TA/TO,Contract,Single,2,Non Refund,8,7,46,Lisbon,London,80.62,0,4,No-Show,2021-04-19,2020-08-22,0
151,Resort Hotel,1,2022-07-18,2022-07-20,254,3,2,0,HB,Portugal,Direct,Direct,Contract,Double,2,Non Refund,4,8,41,Berlin,Paris,51.44,0,1,No-Show,2022-03-05,2021-11-06,0
152,City Hotel,0,2022-02-05,2021-05-06,7,2,1,0,HB,United Kingdom,Offline TA/TO,TA/TO,Contract,Triple,0,Refundable,6,7,19,Berlin,Berlin,58.71,2,1,No-Show,2021-07-12,2022-01-29,0
153,Resort Hotel,0,2020-10-23,2020-06-23,309,4,1,0,FB,Portugal,Direct,TA/TO,Transient,Double,2,Non Refund,5,7,37,London,Madrid,99.36,2,4,Check-Out,2021-04-19,2019-12-19,0
154,Resort Hotel,1,2021-02-02,2021-08-28,115,4,1,1,BB,United Kingdom,Direct,Direct,Group,Double,1,Non Refund,6,9,3,Berlin,Berlin,188.2,0,2,Check-Out,2020-12-27,2020-10-10,0
155,Resort Hotel,0,2021-05-18,2022-12-14,172,2,1,0,BB,Spain,Corporate,Corporate,Contract,Single,2,Non Refund,2,4,50,London,Lisbon,181.9,0,4,Canceled,2021-03-27,2020-11-27,1
156,City Hotel,0,2022-06-01,2021-07-21,352,1,2,0,FB,Germany,Corporate,Corporate,Transient,Triple,0,Non Refund,5,1,7,Lisbon,London,93.24,1,3,Canceled,2022-03-01,2021-06-14,1
157,City Hotel,0,2021-02-21,2021-01-20,108,2,1,1,HB,Portugal,Corporate,Direct,Contract,Single,3,Non Refund,6,10,26,Lisbon,London,178.3,0,2,Check-Out,2020-07-08,2020-11-05,0
158,Resort Hotel,1,2022-03-09,2020-11-03,174,3,2,0,BB,France,Direct,Direct,Contract,Triple,0,No Deposit,7,9,16,London,Madrid,168.96,2,1,No-Show,2022-06-27,2021-09-16,0
159,Resort Hotel,1,2021-04-18,2021-12-13,249,1,2,1,BB,Spain,Direct,TA/TO,Transient-Party,Double,2,Refundable,5,10,3,Madrid,Berlin,165.19,0,4,No-Show,2022-10-04,2020-08-12,0
160,Resort Hotel,1,2022-01-23,2021-11-15,256,2,0,0,BB,Spain,Direct,Direct,Transient-Party,Single,2,Non Refund,7,4,43,Madrid,Madrid,123.76,1,0,Canceled,2020-01-17,2021-05-12,1
161,City Hotel,1,2021-10-01,2020-01-30,105,1,0,0,BB,United Kingdom,Corporate,Direct,Contract,Double,1,No Deposit,4,3,12,London,London,196.22,0,1,Canceled,2020-04-12,2021-06-18,1
162,Resort Hotel,1,2021-06-03,2021-06-26,348,2,2,1,FB,Germany,Corporate,Corporate,Transient-Party,Single,3,No Deposit,9,5,3,Lisbon,Paris,59.39,1,3,Canceled,2022-04-11,2020-06-20,1
163,Resort Hotel,0,2020-10-02,2022-10-26,318,2,1,0,FB,United Kingdom,Online TA,Direct,Transient-Party,Double,1,Refundable,10,4,13,Lisbon,London,174.22,2,0,No-Show,2022-05-18,2019-11-19,0
164,Resort Hotel,1,2021-08-19,2022-06-25,16,1,0,0,BB,Spain,Offline TA/TO,Corporate,Group,Triple,0,No Deposit,6,9,27,London,London,155.42,0,2,No-Show,2022-07-15,2021-08-03,0
165,City Hotel,0,2022-08-11,2021-04-14,297,4,0,1,FB,United Kingdom,Direct,TA/TO,Contract,Triple,3,Refundable,5,2,8,Paris,London,154.7,1,0,Check-Out,2022-03-16,2021-10-18,0
166,City Hotel,0,2020-10-13,2022-04-08,109,3,0,1,HB,Germany,Offline TA/TO,Direct,Transient-Party,Triple,1,No Deposit,4,5,2,London,Lisbon,52.52,0,2,Check-Out,2021-02-10,2020-06-26,0
167,Resort Hotel,1,2022-12-28,2020-05-25,31,1,0,0,FB,Portugal,Offline TA/TO,Direct,Contract,Single,2,Non Refund,10,1,42,Madrid,Berlin,172.97,0,4,No-Show,2022-12-21,2022-11-27,0
168,Resort Hotel,0,2022-09-19,2022-10-26,243,3,1,0,BB,Portugal,Online TA,TA/TO,Transient-Party,Single,0,No Deposit,2,9,22,Lisbon,Berlin,154.57,0,3,Canceled,2021-07-23,2022-01-19,1
169,Resort Hotel,1,2022-09-28,2021-09-29,64,3,0,1,FB,Portugal,Corporate,Corporate,Transient,Single,2,Refundable,10,4,26,Lisbon,London,177.77,1,2,No-Show,2020-03-12,2022-07-26,0
170,Resort Hotel,0,2020-12-30,2020-03-03,257,2,1,0,BB,Germany,Corporate,Corporate,Contract,Double,3,No Deposit,10,10,19,London,Lisbon,86.4,1,0,No-Show,2020-08-19,2020-04-17,0
171,City Hotel,1,2020-01-17,2022-12-18,314,1,0,1,BB,United Kingdom,Corporate,TA/TO,Transient-Party,Single,2,No Deposit,6,10,39,Berlin,Lisbon,186.41,1,0,Canceled,2021-08-07,2019-03-09,1
172,City Hotel,1,2021-09-09,2022-09-19,317,4,1,1,BB,Spain,Direct,Direct,Transient,Single,0,No Deposit,8,4,12,Berlin,Madrid,168.76,0,1,Check-Out,2022-10-12,2020-10-27,0
173,City Hotel,1,2022-05-07,2020-07-08,210,1,1,0,FB,Spain,Corporate,Corporate,Contract,Triple,0,Refundable,1,1,36,Berlin,Madrid,151.21,1,4,Canceled,2022-05-24,2021-10-09,1
174,City Hotel,1,2020-10-02,2022-07-19,70,2,2,1,BB,Germany,Online TA,TA/TO,Transient,Double,2,No Deposit,7,8,41,London,Paris,96.48,0,3,No-Show,2020-11-27,2020-07-24,0
175,Resort Hotel,0,2021-04-20,2021-07-06,93,4,0,0,FB,France,Online TA,Corporate,Group,Triple,3,No Deposit,5,5,30,Paris,Berlin,96.34,2,0,Canceled,2022-12-16,2021-01-17,1
176,City Hotel,0,2021-01-09,2021-04-26,281,1,0,0,BB,France,Offline TA/TO,Corporate,Transient-Party,Triple,3,No Deposit,4,5,35,Lisbon,London,115.65,1,3,No-Show,2022-09-19,2020-04-03,0
177,City Hotel,0,2021-07-07,2021-06-23,284,4,0,0,FB,France,Offline TA/TO,Corporate,Transient,Triple,0,Non Refund,2,5,34,Berlin,Madrid,190.51,1,3,No-Show,2020-07-26,2020-09-26,0
178,City Hotel,1,2021-03-09,2021-12-14,0,4,0,1,HB,United Kingdom,Online TA,TA/TO,Contract,Double,0,Non Refund,7,7,17,Paris,Madrid,126.32,1,4,No-Show,2020-06-02,2021-03-09,0
179,City Hotel,1,2021-04-12,2020-05-20,353,3,2,1,HB,United Kingdom,Direct,TA/TO,Contract,Double,0,Refundable,4,7,11,Lisbon,Berlin,126.35,1,3,Check-Out,2020-10-30,2020-04-24,0
180,Resort Hotel,0,2021-06-29,2020-05-07,235,1,1,1,FB,Spain,Direct,Corporate,Contract,Single,3,Non Refund,2,2,2,Berlin,London,160.2,1,4,Check-Out,2020-05-14,2020-11-06,0
181,Resort Hotel,0,2022-12-29,2021-09-17,33,4,0,1,BB,Spain,Corporate,Direct,Contract,Triple,0,Non Refund,9,5,50,Madrid,Madrid,185.71,0,1,No-Show,2021-07-08,2022-11-26,0
182,Resort Hotel,0,2021-06-08,2021-02-16,242,1,1,1,HB,Germany,Online TA,Corporate,Contract,Triple,0,Refundable,6,1,34,Madrid,Berlin,181.9,1,1,Canceled,2022-07-01,2020-10-09,1
183,City Hotel,1,2022-03-01,2022-03-02,199,1,2,0,FB,Portugal,Direct,Direct,Contract,Triple,0,Refundable,10,1,30,Lisbon,Paris,166.81,0,3,Check-Out,2020-04-02,2021-08-14,0
184,Resort Hotel,0,2020-09-24,2020-05-06,174,1,1,0,HB,Portugal,Offline TA/TO,Direct,Transient,Single,3,Refundable,10,2,1,Berlin,Madrid,72.57,2,2,Canceled,2020-01-25,2020-04-03,1
185,Resort Hotel,1,2021-06-20,2021-10-29,83,1,0,0,FB,United Kingdom,Direct,TA/TO,Group,Single,2,No Deposit,2,9,18,Lisbon,Madrid,139.46,1,1,Canceled,2020-12-15,2021-03-29,1
186,City Hotel,0,2022-04-13,2021-02-07,260,4,0,1,FB,Germany,Direct,Corporate,Transient-Party,Single,3,No Deposit,1,5,30,Madrid,Berlin,160.09,1,3,No-Show,2021-02-09,2021-07-27,0
187,Resort Hotel,1,2022-04-18,2021-07-17,240,1,0,1,FB,France,Corporate,TA/TO,Contract,Single,2,No Deposit,7,6,11,Lisbon,Berlin,199.83,0,0,Check-Out,2021-06-05,2021-08-21,0
188,City Hotel,0,2020-03-19,2022-10-21,289,3,1,0,FB,United Kingdom,Direct,Direct,Transient-Party,Triple,1,No Deposit,8,3,12,Berlin,Madrid,110.53,2,0,Canceled,2022-05-15,2019-06-04,1
189,City Hotel,1,2021-04-12,2021-09-19,134,1,1,0,FB,Spain,Offline TA/TO,TA/TO,Transient-Party,Triple,0,Refundable,8,9,18,Berlin,Paris,152.35,2,0,Check-Out,2022-01-26,2020-11-29,0
190,City Hotel,1,2022-12-21,2021-04-01,349,2,1,0,HB,Germany,Corporate,TA/TO,Transient-Party,Single,1,Non Refund,6,3,36,Paris,Lisbon,77.73,0,0,Canceled,2021-08-19,2022-01-06,1
191,Resort Hotel,1,2021-09-25,2022-06-18,154,4,0,1,BB,Germany,Online TA,Direct,Contract,Single,2,Non Refund,1,9,5,London,Lisbon,149.06,2,1,No-Show,2021-04-29,2021-04-24,0
192,Resort Hotel,0,2022-08-22,2021-03-16,90,1,2,1,BB,Portugal,Online TA,Direct,Transient,Single,1,No Deposit,1,10,32,London,London,153.65,1,2,No-Show,2022-10-25,2022-05-24,0
193,Resort Hotel,1,2020-09-21,2020-04-02,55,3,0,1,HB,United Kingdom,Direct,Corporate,Contract,Double,3,No Deposit,3,1,21,Lisbon,Madrid,145.03,2,0,Canceled,2021-12-01,2020-07-28,1
194,Resort Hotel,1,2020-03-06,2020-03-26,158,2,0,1,HB,Portugal,Corporate,Direct,Group,Triple,3,No Deposit,3,4,33,Lisbon,Berlin,83.29,2,3,No-Show,2021-04-01,2019-09-30,0
195,City Hotel,1,2022-01-10,2021-04-12,153,3,1,1,FB,France,Offline TA/TO,Direct,Group,Double,2,Non Refund,6,7,7,Madrid,Paris,197.71,1,0,Check-Out,2022-06-07,2021-08-10,0
196,Resort Hotel,0,2022-09-12,2021-09-03,0,2,2,1,FB,Spain,Direct,Direct,Group,Triple,0,No Deposit,3,6,20,Berlin,Lisbon,180.9,0,0,No-Show,2021-12-17,2022-09-12,0
197,City Hotel,1,2021-02-01,2021-02-12,30,3,0,0,FB,Germany,Online TA,Direct,Group,Double,2,Non Refund,7,4,44,Madrid,Berlin,174.78,1,3,Canceled,2020-12-23,2021-01-02,1
198,Resort Hotel,0,2020-06-24,2020-05-19,113,1,1,0,HB,Germany,Online TA,Corporate,Contract,Double,0,Non Refund,6,6,4,Lisbon,London,181.94,2,4,Check-Out,2021-01-11,2020-03-03,0
199,City Hotel,0,2022-05-15,2022-02-21,119,3,2,0,FB,Portugal,Corporate,TA/TO,Group,Triple,2,Refundable,8,2,2,Lisbon,London,141.13,0,4,Check-Out,2020-07-02,2022-01-16,0
200,City Hotel,1,2022-10-13,2020-03-23,248,2,2,0,FB,Portugal,Online TA,Corporate,Transient-Party,Double,2,No Deposit,3,3,25,Paris,Berlin,133.69,1,3,Check-Out,2022-06-06,2022-02-07,0
201,City Hotel,1,2020-10-18,2022-08-28,153,2,1,1,BB,Portugal,Online TA,Corporate,Transient,Single,1,No Deposit,3,7,0,Madrid,Paris,50.96,1,3,No-Show,2021-10-12,2020-05-18,0
202,City Hotel,0,2022-07-05,2020-08-07,52,1,0,0,BB,Spain,Online TA,Direct,Group,Single,0,Refundable,2,6,16,Berlin,Berlin,98.29,2,4,Canceled,2021-09-28,2022-05-14,1
203,City Hotel,0,2020-07-06,2021-12-26,302,1,0,0,FB,United Kingdom,Direct,Corporate,Transient-Party,Double,1,Refundable,7,8,26,Lisbon,London,199.01,1,3,No-Show,2021-08-11,2019-09-08,0
204,City Hotel,0,2020-06-06,2021-02-01,204,1,1,1,FB,Spain,Online TA,TA/TO,Group,Single,0,No Deposit,6,10,42,Paris,Paris,158.52,2,2,Check-Out,2021-12-12,2019-11-15,0
205,City Hotel,0,2020-01-23,2022-12-11,51,4,2,1,HB,Portugal,Corporate,Corporate,Group,Single,1,No Deposit,8,9,3,Lisbon,Paris,180.29,2,2,Canceled,2022-08-22,2019-12-03,1
206,Resort Hotel,1,2021-05-09,2021-07-24,101,3,0,0,BB,United Kingdom,Direct,TA/TO,Group,Triple,3,Non Refund,8,5,10,Madrid,Lisbon,126.47,2,4,Check-Out,2020-11-18,2021-01-28,0
207,Resort Hotel,0,2020-11-18,2021-08-16,321,2,2,1,FB,France,Offline TA/TO,Direct,Group,Double,1,No Deposit,9,5,10,Lisbon,Lisbon,136.05,1,4,Canceled,2020-03-19,2020-01-02,1
208,City Hotel,1,2022-03-12,2020-04-04,125,2,0,1,FB,Portugal,Direct,TA/TO,Transient,Triple,3,No Deposit,7,2,30,Lisbon,Madrid,174.28,1,3,Canceled,2022-08-12,2021-11-07,1
209,City Hotel,1,2022-12-30,2020-05-08,240,2,0,0,FB,Portugal,Corporate,Direct,Transient,Double,2,No Deposit,2,3,4,Madrid,Paris,122.8,0,1,Check-Out,2022-05-26,2022-05-04,0
210,City Hotel,0,2020-05-31,2021-06-15,75,3,0,0,FB,Germany,Direct,TA/TO,Contract,Double,2,No Deposit,4,2,46,Berlin,Paris,107.2,0,0,Canceled,2022-08-12,2020-03-17,1
211,City Hotel,1,2022-05-05,2021-06-14,170,1,2,0,FB,Germany,Direct,Corporate,Transient-Party,Single,3,Refundable,1,10,37,Lisbon,London,149.16,0,1,Check-Out,2020-08-21,2021-11-16,0
212,City Hotel,0,2020-05-27,2021-02-27,150,3,2,0,BB,Portugal,Offline TA/TO,Direct,Transient-Party,Single,1,No Deposit,6,2,32,London,Madrid,124.7,2,0,Canceled,2021-10-06,2019-12-29,1
213,City Hotel,1,2022-12-23,2021-09-02,164,3,1,0,HB,France,Offline TA/TO,TA/TO,Contract,Double,1,No Deposit,2,3,32,Berlin,Madrid,194.3,1,3,Check-Out,2020-01-22,2022-07-12,0
214,Resort Hotel,0,2022-01-10,2021-12-17,110,4,1,0,FB,United Kingdom,Online TA,Corporate,Transient-Party,Double,1,No Deposit,4,1,45,Madrid,Berlin,69.37,2,4,No-Show,2021-08-21,2021-09-22,0
215,City Hotel,0,2022-10-24,2021-01-29,288,2,2,1,HB,France,Offline TA/TO,Corporate,Transient,Double,2,Refundable,5,3,39,Madrid,London,55.04,0,2,No-Show,2021-04-29,2022-01-09,0
216,Resort Hotel,0,2021-07-17,2021-05-14,310,4,2,0,BB,Portugal,Corporate,TA/TO,Transient,Triple,3,Non Refund,8,8,47,London,Paris,69.47,1,2,Check-Out,2022-10-04,2020-09-10,0
217,Resort Hotel,1,2020-02-09,2020-04-22,72,4,0,0,FB,Portugal,Online TA,Direct,Contract,Triple,0,Refundable,8,3,36,Berlin,Berlin,135.12,2,1,Check-Out,2022-06-19,2019-11-29,0
218,City Hotel,1,2022-08-05,2021-07-01,129,3,1,0,FB,Germany,Online TA,Direct,Transient-Party,Triple,1,Refundable,6,1,8,Paris,Lisbon,190.85,0,4,Canceled,2021-09-21,2022-03-29,1
219,City Hotel,0,2020-08-11,2021-06-09,142,1,0,0,BB,Portugal,Offline TA/TO,Direct,Contract,Single,3,Non Refund,1,2,13,Lisbon,Berlin,125.62,1,1,Check-Out,2021-07-03,2020-03-22,0
220,Resort Hotel,0,2021-09-28,2020-07-28,248,4,2,0,HB,United Kingdom,Corporate,TA/TO,Group,Double,2,Refundable,8,1,40,Madrid,Lisbon,176.24,2,3,No-Show,2021-06-03,2021-01-23,0
221,Resort Hotel,1,2022-07-18,2022-12-26,230,1,2,1,BB,Spain,Offline TA/TO,Corporate,Contract,Double,3,No Deposit,8,3,32,Madrid,Lisbon,63.98,0,4,Canceled,2020-10-31,2021-11-30,1
222,Resort Hotel,1,2020-09-18,2022-07-26,281,3,2,0,FB,Portugal,Offline TA/TO,Corporate,Contract,Single,0,Refundable,10,1,31,Paris,Paris,164.18,2,4,Canceled,2020-06-10,2019-12-12,1
223,City Hotel,1,2021-04-06,2022-01-28,211,4,1,0,FB,Portugal,Direct,Direct,Transient,Single,0,Refundable,8,4,14,London,Berlin,165.38,2,2,No-Show,2021-02-12,2020-09-07,0
224,City Hotel,1,2021-07-11,2022-08-11,160,3,2,0,HB,France,Corporate,TA/TO,Transient-Party,Triple,2,Non Refund,4,3,33,Berlin,Madrid,133.67,0,4,Check-Out,2021-11-17,2021-02-01,0
225,Resort Hotel,0,2020-07-02,2020-04-03,327,3,2,0,HB,Portugal,Corporate,Direct,Group,Triple,1,Refundable,2,6,39,Madrid,Paris,93.28,0,1,Canceled,2022-07-13,2019-08-10,1
226,City Hotel,0,2022-08-01,2020-07-06,27,2,0,0,BB,Portugal,Offline TA/TO,TA/TO,Transient-Party,Single,3,Refundable,9,10,40,Lisbon,Lisbon,172.52,2,2,Canceled,2020-10-06,2022-07-05,1
227,Resort Hotel,1,2021-06-02,2022-03-26,145,4,0,1,BB,Portugal,Offline TA/TO,Corporate,Transient,Single,2,No Deposit,1,7,37,Berlin,Berlin,116.68,1,3,Canceled,2022-08-12,2021-01-08,1
228,City Hotel,0,2022-04-26,2022-06-13,256,4,0,0,FB,Germany,Online TA,TA/TO,Group,Double,3,Refundable,3,5,24,Lisbon,Berlin,164.1,1,0,No-Show,2021-11-20,2021-08-13,0
229,City Hotel,1,2021-01-29,2020-12-04,186,2,2,1,HB,France,Corporate,TA/TO,Transient,Triple,2,No Deposit,9,2,0,London,Lisbon,101.63,2,1,Check-Out,2020-04-11,2020-07-27,0
230,Resort Hotel,0,2022-12-05,2020-01-17,163,3,1,0,FB,France,Online TA,Direct,Group,Single,2,Non Refund,6,7,15,Paris,Lisbon,69.39,1,2,No-Show,2022-07-13,2022-06-25,0
231,City Hotel,1,2021-12-17,2021-09-12,290,1,1,0,HB,Germany,Online TA,Direct,Group,Triple,1,Non Refund,5,4,2,Paris,London,77.43,0,3,Canceled,2022-08-09,2021-03-02,1
232,Resort Hotel,1,2020-01-09,2022-05-28,191,2,1,1,BB,France,Corporate,Direct,Group,Single,0,Refundable,3,4,14,Paris,Madrid,66.73,0,2,Check-Out,2020-05-04,2019-07-02,0
233,Resort Hotel,0,2020-07-10,2020-08-05,278,3,1,0,HB,United Kingdom,Direct,Direct,Transient-Party,Double,3,Non Refund,7,2,35,Paris,Lisbon,192.88,1,2,Check-Out,2020-02-15,2019-10-06,0
234,City Hotel,0,2021-11-17,2021-09-13,71,1,1,0,FB,United Kingdom,Corporate,Corporate,Contract,Triple,2,No Deposit,5,7,38,Paris,London,112.33,2,3,No-Show,2021-03-31,2021-09-07,0
235,Resort Hotel,1,2020-11-04,2022-12-20,323,2,1,1,FB,Portugal,Offline TA/TO,Direct,Transient-Party,Triple,1,Non Refund,1,2,36,Berlin,Lisbon,189.97,2,4,Canceled,2022-10-16,2019-12-17,1
236,City Hotel,0,2022-04-24,2020-04-25,123,2,1,1,FB,Germany,Direct,Corporate,Contract,Double,3,No Deposit,7,2,29,Madrid,London,52.35,2,2,Canceled,2022-07-16,2021-12-22,1
237,Resort Hotel,1,2021-01-14,2021-03-02,218,1,2,0,FB,Portugal,Corporate,Corporate,Contract,Triple,0,No Deposit,1,9,15,London,Madrid,64.59,0,2,Check-Out,2021-06-13,2020-06-10,0
238,Resort Hotel,1,2022-07-17,2020-11-15,360,3,2,0,HB,Spain,Online TA,TA/TO,Group,Double,0,Refundable,8,7,16,Berlin,Lisbon,191.97,0,1,Check-Out,2022-05-11,2021-07-22,0
239,Resort Hotel,0,2020-12-15,2020-08-03,83,4,1,0,HB,Germany,Offline TA/TO,Direct,Contract,Triple,2,No Deposit,8,4,11,London,Berlin,185.3,0,2,No-Show,2021-08-05,2020-09-23,0
240,City Hotel,1,2022-02-10,2021-10-05,340,3,2,0,HB,Spain,Direct,Corporate,Group,Double,0,No Deposit,4,1,26,London,Lisbon,174.9,2,2,No-Show,2020-11-08,2021-03-07,0
241,Resort Hotel,0,2022-02-19,2022-01-05,87,1,0,1,HB,United Kingdom,Corporate,TA/TO,Group,Single,3,No Deposit,9,3,36,Madrid,London,58.96,1,0,Canceled,2021-12-08,2021-11-24,1
242,Resort Hotel,0,2021-09-27,2021-07-22,148,1,2,0,HB,Spain,Direct,TA/TO,Group,Single,0,Non Refund,5,4,45,Madrid,London,95.52,1,4,Canceled,2021-01-23,2021-05-02,1
243,City Hotel,1,2020-02-07,2021-02-11,225,2,0,0,FB,Spain,Offline TA/TO,Direct,Contract,Double,0,No Deposit,4,2,6,Madrid,Berlin,189.53,0,2,Canceled,2020-04-18,2019-06-27,1
244,City Hotel,0,2020-09-26,2020-08-07,344,3,2,1,FB,Portugal,Direct,Corporate,Contract,Single,3,Refundable,6,6,47,Berlin,Lisbon,64.22,2,2,No-Show,2021-06-23,2019-10-18,0
245,Resort Hotel,1,2022-09-26,2021-12-01,98,4,0,1,HB,Spain,Corporate,TA/TO,Transient-Party,Double,3,Non Refund,1,6,46,Paris,London,191.07,2,2,Canceled,2021-05-20,2022-06-20,1
246,City Hotel,1,2020-04-03,2020-10-08,244,1,0,0,HB,Portugal,Online TA,Corporate,Contract,Triple,3,Non Refund,6,1,40,London,Paris,162.02,0,0,No-Show,2020-11-13,2019-08-03,0
